threads,n,seed,m,wall_ms
1,10000,42,184724,8.104542
1,10000,43,184354,5.985875
1,10000,44,184366,4.961084
1,10000,45,184924,5.178833
1,10000,46,184796,5.599583
2,20000,42,397399,9.346041
2,20000,43,396174,9.151625
2,20000,44,396262,9.314959
2,20000,45,396567,9.872000
2,20000,46,396809,9.436084
4,40000,42,848573,16.699334
4,40000,43,847221,16.910458
4,40000,44,847162,17.433917
4,40000,45,847311,17.964125
4,40000,46,849861,18.651250
6,60000,42,1321264,26.668917
6,60000,43,1319616,27.426208
6,60000,44,1321460,27.209500
6,60000,45,1321244,25.852084
6,60000,46,1320145,25.213291
8,80000,42,1804870,36.980834
8,80000,43,1805126,37.888792
8,80000,44,1804800,36.149959
8,80000,45,1807367,35.924125
8,80000,46,1809725,36.722084
10,100000,42,2305464,49.805959
10,100000,43,2302077,46.466667
10,100000,44,2303513,48.251375
10,100000,45,2303420,51.052875
10,100000,46,2304449,50.518917
